1,Embracer Group,2011-06-01,Sweden,Formerly known as Nordic Games Licensing AB and THQ Nordic AB.,https://embracer.com/,Lars,Wingefors,Coffee Stain Studios,Sweden,2010-01-01,123,Stefan,Hanna,Satisfactory,2019-03-19,Factory Building Sim,
1,Embracer Group,2011-06-01,Sweden,Formerly known as Nordic Games Licensing AB and THQ Nordic AB.,https://embracer.com/,Lars,Wingefors,Ghost Ship Games,Denmark,2016-01-01,32,Søren,Lundgaard,Deep Rock Galactic,2018-02-28,CO-OP PvE FPS,
16,Sony Interactive Entertainment,1993-11-16,Japan,Handles research, development, production and sales of hardware and software for PlayStation consoles.,https://www.sie.com/en/index.html,Jim,Ryan,Guerrilla Games,Netherlands,2010-01-01,360,Angie,Smets,Horizon Zero Dawn,2017-02-28,Open World RPG,
16,Sony Interactive Entertainment,1993-11-16,Japan,Handles research, development, production and sales of hardware and software for PlayStation consoles.,https://www.sie.com/en/index.html,Jim,Ryan,Santa Monica Studio,United States,1999-01-01,250,Yumi,Yang,God of War,2018-04-20,RPG,
2,505 Games,2006-01-01,Italy,Medium sized publisher based in Milan.,https://505games.com/,Neil,Ralley,505 Games,Italy,2006-01-01,66,Neil,Ralley,Control,2019-08-27,Paranormal RPG,
3,Xbox Game Studios,2006-01-01,United States,Part of Microsoft Gaming division.,https://www.xbox.com/en-US/xbox-game-studios,Phil,Spencer,343 Industries,United States,2007-01-01,450,Pierre,Hintze,Halo 5,2015-10-27,FPS,
3,Xbox Game Studios,2006-01-01,United States,Part of Microsoft Gaming division.,https://www.xbox.com/en-US/xbox-game-studios,Phil,Spencer,Obsidian Entertainment,United States,2003-06-12,200,Feargus,Urquhart,The Outer Worlds,2019-10-25,Open World RPG,
4,Nintendo,1889-09-23,Japan,Game developer, publisher and hardware developer.,https://www.nintendo.com/,Shuntaro,Furukawa,Nintendo Software Technology,United States,1998-01-01,50,Minoru,Arakawa,Super Mario Odyssey,2017-10-27,Platformer,
5,Tencent Games,2003-01-01,China,Large publisher focusing on mobile game market.,https://game.qq.com/,Mark,Ren,Aurora Studio Group,China,2007-01-01,100,Ethan,Yu,Ring of Elysium,2018-09-19,Battle Royale,
6,Team17,1990-12-07,United Kingdom,Game developer and publisher created by merger of 17-Bit Software and Team 7.,https://www.team17.com/,Debbie,Bestwick,Team17,United Kingdom,1990-12-07,200,Debbie,Bestwick,Worms Rumble,2020-12-01,Arena shooter,
